year_ceremony,category,name,film,win
1990,ACTOR IN A LEADING ROLE,Robin Williams,Dead Poets Society,False
1990,BEST PICTURE,"Steven Haft, Paul Junger Witt and Tony Thomas, Producers",Dead Poets Society,False
1990,DIRECTING,Peter Weir,Dead Poets Society,False
1990,WRITING (Screenplay Written Directly for the Screen),Tom Schulman,Dead Poets Society,True
